Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Vegetation_Type,Soil_Type_Enc,Wilderness_Area_Enc,Vegetation_Type_Enc
2699,347,3,0,0,2096,213,234,159,6853,37.32,282.46,125.22,6.23,Type_1,0,0,0
2739,323,25,85,43,3118,149,205,192,6219,76.51,182.57,532.19,30.65,Type_1,1,0,0
2696,72,2,30,0,3271,222,234,149,6071,86.37,374.79,275.52,59.96,Type_1,2,0,0
2722,315,24,30,19,3216,148,212,200,6132,85.31,364.3,1182.48,22.21,Type_1,3,0,0
2919,13,13,90,6,5321,207,214,142,4060,78.13,303.26,1198.69,14.22,Type_1,1,0,0
2808,99,7,382,95,3107,233,230,130,6341,51.51,210.66,608.48,43.04,Type_1,4,0,0
2795,79,10,531,96,2980,233,223,121,6497,81.79,341.07,878.84,62.66,Type_1,0,0,0
2847,352,26,150,82,3697,166,187,152,5796,49.85,280.22,822.57,14.1,Type_1,1,0,0
2840,14,14,216,88,3552,206,210,140,5944,33.81,207.59,97.89,63.15,Type_1,4,0,0
2860,358,17,175,98,3705,191,206,151,5800,49.51,270.36,1095.41,64.07,Type_1,1,0,0
2860,31,10,295,98,3644,218,218,135,5904,59.63,311.83,435.5,57.42,Type_1,4,0,0
2863,102,15,190,71,4389,244,219,100,5184,60.51,437.76,1114.84,8.46,Type_1,1,0,0
2863,348,14,309,89,3918,193,216,161,5695,43.73,398.98,678.29,59.31,Type_1,1,0,0
3182,105,11,408,33,6000,240,226,115,1184,47.39,206.05,339.19,60.18,Type_1,1,0,0
2818,324,12,242,26,4156,189,227,177,5467,39.67,335.9,821.32,59.67,Type_1,3,0,0
3195,111,15,469,46,5941,245,222,101,1206,82.29,287.34,1190.77,60.54,Type_1,1,0,0
2850,58,6,295,58,4394,225,227,137,5239,41.19,323.3,208.32,36.99,Type_1,1,0,0
2837,17,13,330,45,4241,208,211,138,5428,62.36,155.2,325.54,57.75,Type_1,1,0,0
2991,49,13,85,0,6199,225,211,117,3613,37.19,209.01,1052.98,61.83,Type_1,5,0,0
